Geneid,SRR29022831,SRR29022832,SRR29022833,SRR29022834,SRR29022835,SRR29022836,SRR29022837,SRR29022838
ENSG00000197785.16,1835,1231,2128,1018,1408,915,889,650
ENSG00000205090.10,30,220,34,57,35,61,27,121
ENSG00000299413.1,0,1,0,0,0,0,0,0
ENSG00000160075.14,4518,6147,6334,4515,4081,5107,4510,3820
ENSG00000215014.5,48,55,71,57,40,31,57,56
ENSG00000274481.1,0,0,0,0,0,0,0,0
ENSG00000228594.4,248,245,756,391,481,165,552,241
ENSG00000286989.2,24,27,42,50,24,16,32,26
ENSG00000272106.1,512,515,240,514,178,354,335,351
ENSG00000197530.15,1620,4410,1771,2337,1200,2868,1761,2198
ENSG00000189409.16,46,137,189,71,35,31,151,128
ENSG00000248333.11,1316,2249,1781,1310,845,1081,1189,1244
ENSG00000272004.2,20,6,3,4,3,5,1,7
ENSG00000189339.14,2016,5746,3162,4540,1909,2489,3092,4760
ENSG00000293187.1,31,60,125,104,2,2,88,211
ENSG00000269737.3,3,30,44,30,0,8,18,65
ENSG00000310190.1,4,15,4,6,1,1,4,11
ENSG00000310238.1,0,0,0,0,0,0,0,0
ENSG00000215914.4,0,0,0,0,0,0,0,0
ENSG00000008128.25,22,68,47,32,17,23,25,22
ENSG00000268575.1,41,114,59,47,24,33,10,28
ENSG00000293188.2,305,671,376,465,215,331,306,542
ENSG00000290854.2,71,100,98,143,88,89,115,140
ENSG00000215790.9,0,0,0,0,0,0,0,0
ENSG00000227775.4,0,0,0,0,0,0,0,0
ENSG00000008130.17,1668,2967,4032,2408,4014,2268,2856,2226
ENSG00000302550.1,0,6,1,0,2,0,3,7
ENSG00000078369.21,10856,12282,14317,9751,10516,7372,8388,8992
ENSG00000231050.4,15,10,2,17,3,12,3,8
ENSG00000303984.1,0,0,0,0,0,0,0,0
ENSG00000294910.1,7,5,3,0,0,1,3,5
ENSG00000306476.1,0,3,1,0,0,5,3,0
ENSG00000169885.11,12,39,10,16,2,6,16,10
ENSG00000178821.15,49,80,26,14,53,54,2,21
ENSG00000142609.21,18,14,2,11,28,24,4,16
ENSG00000233542.3,12,3,23,0,10,6,4,0
ENSG00000187730.11,244,38,69,32,102,42,227,24
ENSG00000304958.1,0,0,0,0,4,0,2,0
ENSG00000226969.2,4,0,0,0,0,0,0,0
ENSG00000067606.19,778,659,496,638,702,340,578,381
ENSG00000308181.1,1,0,0,0,0,0,4,2
ENSG00000271806.1,0,6,2,0,0,2,0,1
ENSG00000182873.5,47,147,44,71,25,101,59,116
ENSG00000162585.19,1812,2504,1923,1761,1115,1775,1275,1267
ENSG00000304038.1,0,29,1,18,1,10,0,10
ENSG00000234396.3,0,0,0,0,0,0,0,0
ENSG00000304143.1,4,10,0,16,1,5,0,2
ENSG00000157933.13,8052,9558,6090,5491,3358,4558,4342,6161
ENSG00000295493.1,2,5,2,1,0,0,0,5
ENSG00000287356.2,24,36,22,28,6,27,25,15
ENSG00000116151.16,406,870,292,555,179,402,459,443
ENSG00000272161.1,0,8,4,0,1,6,1,9
ENSG00000292993.1,121,161,86,87,65,107,88,109
ENSG00000269896.3,0,0,0,0,0,0,0,0
ENSG00000272420.1,6,48,10,17,4,12,13,12
ENSG00000295371.1,0,0,0,0,0,0,0,0
ENSG00000157916.22,3364,4591,3930,3085,2861,2753,6376,3091
ENSG00000157911.13,781,925,654,834,423,702,1928,676
ENSG00000149527.19,338,2485,637,501,176,1208,429,1178
ENSG00000224387.1,0,17,2,5,0,0,4,6
ENSG00000229393.1,6,12,5,0,0,0,4,17
ENSG00000157881.18,776,1197,1369,1066,800,759,773,868
ENSG00000197921.7,18,20,12,18,7,36,20,47
