Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000224137.3,118.98023170555823,4.667156197428712,0.6694853288284554,6.9712598565764745,3.141151476953839e-12,1.4546958048998406e-09
ENSG00000153246.15,2175.918143564574,-2.25569167903064,0.32490824699629944,-6.942549781004269,3.850851829946976e-12,1.720790297554025e-09
ENSG00000117586.14,284.3206261077032,3.489691872081591,0.5025979436750126,6.943307102621331,3.8302550251069186e-12,1.720790297554025e-09
ENSG00000213366.15,1015.2140038988618,-2.2106483202468317,0.3185765917181653,-6.939142352940114,3.944874723023234e-12,1.7324121391400825e-09
ENSG00000120251.23,168.45115114650014,-4.612284683663274,0.6653134664225935,-6.932498613719094,4.134716020638434e-12,1.7850059620623993e-09
ENSG00000086717.21,66.84525044373524,3.7285785136871192,0.5381772989286979,6.928160145567775,4.263489555327596e-12,1.80992237439582e-09
ENSG00000290541.2,72.34438639862192,-3.571299686492415,0.5165849823664078,-6.913285922739684,4.7355410498367676e-12,1.9773600996785625e-09
ENSG00000110195.16,481.0858771912615,-3.3119975320513615,0.47975849705192936,-6.903468208282445,5.0748017790390805e-12,2.076929538916441e-09
ENSG00000204767.5,246.79087816374428,-4.353738614375836,0.6308178903726925,-6.901736112467596,5.137079853627097e-12,2.076929538916441e-09
ENSG00000101955.17,2666.6639399435735,-2.252771885876119,0.327010824867029,-6.888982610261157,5.619280712005742e-12,2.23638592211716e-09
ENSG00000147570.12,111.04482826965355,3.9083538229266037,0.5684433537568788,6.875537900295678,6.175638478678226e-12,2.4199951952371247e-09
ENSG00000150281.8,342.192305098977,-2.257962435685377,0.32853847603936137,-6.872748857016237,6.29763832512194e-12,2.4304112996845597e-09
ENSG00000303631.1,170.714917651948,-5.444174833522874,0.7928129908555599,-6.866909216065975,6.5607791166523285e-12,2.4941732071679324e-09
ENSG00000177098.10,1030.258048880013,-2.4961343138146317,0.3637225134287245,-6.862743497190137,6.755045731903041e-12,2.5302613211367993e-09
ENSG00000166006.16,240.16598678624487,-7.012886204547148,1.0222607201511607,-6.860173795497257,6.877682254944074e-12,2.538861517618558e-09
ENSG00000162849.17,1128.124202110593,2.9672783453328853,0.43268765953062993,6.857783622837138,6.993707971796572e-12,2.544810510709007e-09
ENSG00000130635.19,7813.21263251632,2.08352648045635,0.3052641595365234,6.825322971487144,8.772772247317436e-12,3.1472011536820055e-09
ENSG00000106004.6,576.6247063237713,-2.5498965332553536,0.37438462742589373,-6.810900732723285,9.698954199061877e-12,3.4311397556153484e-09
ENSG00000148773.16,1735.2517335239847,3.727808167220076,0.5488105440940846,6.792522861187965,1.1018934738943686e-11,3.814411536357595e-09
ENSG00000117215.16,407.16169069937405,4.405736498743413,0.6486940833561547,6.791701376324279,1.1081875611105256e-11,3.814411536357595e-09
ENSG00000276043.7,1159.7221752043793,4.114176288487079,0.6075740064177004,6.771481737252972,1.2747005423158753e-11,4.329053001777021e-09
ENSG00000151778.13,146.25329221490057,-1.897282063919615,0.2813455932632127,-6.743599719881215,1.5450984358930093e-11,5.178316086925111e-09
ENSG00000277639.4,360.64737389601635,-2.726940610184022,0.405159580609262,-6.730534684835449,1.6904074614958502e-11,5.5917361625663384e-09
ENSG00000301988.1,192.7005614686611,-5.242738941683024,0.7825932157483917,-6.69918782348427,2.095810765103831e-11,6.843896922815344e-09
ENSG00000136158.14,1661.8040184380943,-1.906349441237428,0.2847589802590518,-6.694606925137806,2.162521168427917e-11,6.972351478611072e-09
ENSG00000113739.12,12715.830107802753,-3.8288766544393926,0.5728185754740784,-6.68427459998224,2.3207128942719517e-11,7.3888597662501095e-09
ENSG00000165197.7,529.4692195157703,-4.855523706230438,0.7267438523921945,-6.68120368716942,2.3698756060528724e-11,7.452234760712681e-09
ENSG00000186283.16,2884.2913442183903,1.4985998470832325,0.22491754808224076,6.662885398943046,2.6850303406840445e-11,8.340293635068694e-09
ENSG00000187837.5,3121.3104770571827,3.0131937058790474,0.4524588160135598,6.65959773405928,2.7457806486024404e-11,8.426238421753345e-09
ENSG00000170312.19,925.1079924820732,3.2674308489738335,0.49103585085042323,6.654159453561245,2.8492364689043206e-11,8.6396312023169e-09
ENSG00000112320.14,468.23012517399036,-1.7755054523571012,0.2671555988629268,-6.64596010682181,3.0124684996393665e-11,8.922161064455153e-09
ENSG00000117650.15,385.18693976640446,4.096038799248757,0.6162686903980853,6.6465145204811185,3.001148559155903e-11,8.922161064455153e-09
ENSG00000106278.14,378.20009826709963,-3.391409408805503,0.5128541577098767,-6.612814496717085,3.770808708611235e-11,1.1039800990463997e-08
ENSG00000147255.21,216.99213049524496,-4.81503556394052,0.7286551704699642,-6.608112807097688,3.8925004441687996e-11,1.1266577137889033e-08
ENSG00000092853.16,341.915313233079,3.428920564758532,0.5204463852792899,6.588422288529206,4.44524814284736e-11,1.2721900611962371e-08
ENSG00000256663.1,90.69695942737158,4.321788188027314,0.6564324109392988,6.583751984219067,4.587220948686134e-11,1.298234497599828e-08
