Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2023	Cytosolic Small Ribosomal Subunit (GO:0022627)	1/41	9.992212e-01	9.999937e-01	0	0	1.308810e-01	1.019668e-04	MRPS12
GO_Cellular_Component_2023	Organelle Envelope Lumen (GO:0031970)	3/68	9.993258e-01	9.999937e-01	0	0	2.414168e-01	1.628063e-04	AIFM1;MYOC;CYCS
GO_Cellular_Component_2023	Small Ribosomal Subunit (GO:0015935)	1/42	9.993457e-01	9.999937e-01	0	0	1.276811e-01	8.356822e-05	MRPS12
GO_Cellular_Component_2023	Transcription Factor TFIID Complex (GO:0005669)	1/42	9.993457e-01	9.999937e-01	0	0	1.276811e-01	8.356822e-05	TAF13
GO_Cellular_Component_2023	Spliceosomal snRNP Complex (GO:0097525)	2/57	9.994347e-01	9.999937e-01	0	0	1.902614e-01	1.075883e-04	SNRPG;TXNL4A
GO_Cellular_Component_2023	Lytic Vacuole Membrane (GO:0098852)	27/287	9.995991e-01	9.999937e-01	0	0	5.409158e-01	2.168911e-04	GRN;SPAAR;AHNAK;PCSK9;LRP2;SLC2A6;TMEM165;PIP4P2;HLA-DMB;PGAP6;AP1S3;SLC15A3;HLA-DQA2;CTSD;HLA-DOB;ABCD1;HLA-DPA1;SLC36A1;HSPA8;ATP6V0B;SEC13;LAPTM5;MCOLN2;GPR137B;HLA-DRA;ATP6V0D2;HLA-DQB2
GO_Cellular_Component_2023	Small-Subunit Processome (GO:0032040)	3/73	9.996775e-01	9.999937e-01	0	0	2.241057e-01	7.228554e-05	MRPS12;FBLL1;DCAF13
GO_Cellular_Component_2023	Lysosomal Membrane (GO:0005765)	35/356	9.997382e-01	9.999937e-01	0	0	5.672743e-01	1.485219e-04	PIGR;GRN;SPAAR;AHNAK;LPCAT1;PCSK9;LRP2;SLC2A6;TMEM165;PIP4P2;HLA-DMB;PGAP6;AP2S1;AP1S3;SLC15A3;HLA-DQA2;CTSD;HLA-DOB;ABCD1;HLA-DPA1;CTSA;SLC36A1;HSPA8;TASL;ATP6V0B;SEC13;NFAM1;LAPTM5;MCOLN2;GPR137B;CKAP4;TLR8;HLA-DRA;ATP6V0D2;HLA-DQB2
GO_Cellular_Component_2023	Peroxisome (GO:0005777)	7/129	9.999379e-01	9.999937e-01	0	0	2.994741e-01	1.858938e-05	IDI1;AOC1;NUDT7;CAT;PJVK;PLAAT3;HAO2
GO_Cellular_Component_2023	Mitochondrial Membrane (GO:0031966)	52/540	9.999888e-01	9.999937e-01	0	0	5.517304e-01	6.193925e-06	SLC27A1;MCUB;MRPS12;MRPL37;HK2;IMMP2L;CASP8;AIFM1;CPT2;GPER1;RAC2;TIMM17A;FLVCR2;IKBKE;ABCD1;MYOC;RSAD2;ACSL3;KMO;SCO2;SLC25A19;VDAC1;MICU3;SLC25A5;SLC25A13;TOMM40;MAOB;BCL2A1;UCP1;IFI6;ABCB8;MRPL13;ACACB;TMEM70;HSPD1;CKMT2;SLC25A27;APOO;CYP27B1;UCP2;HMOX1;BAK1;CYC1;AOC1;TIGAR;PDE2A;COX6C;COQ2;GPAM;CYCS;BAX;ALDH18A1
GO_Cellular_Component_2023	Mitochondrial Inner Membrane (GO:0005743)	31/370	9.999899e-01	9.999937e-01	0	0	4.746453e-01	4.810098e-06	SLC27A1;TOMM40;MCUB;MRPS12;IFI6;UCP1;MRPL37;MRPL13;TMEM70;HSPD1;CKMT2;SLC25A27;APOO;IMMP2L;AIFM1;CPT2;UCP2;TIMM17A;CYC1;RSAD2;MYOC;PDE2A;COX6C;COQ2;SCO2;SLC25A19;CYCS;MICU3;ALDH18A1;SLC25A5;SLC25A13
