Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	Hydro-Lyase Activity (GO:0016836)	12/46	5.434188e-02	8.291516e-01	0	0	1.854767e+00	5.401934e+00	CA12;CA11;CA3;GMDS;CBS;CYP2S1;CA4;CA6;CA9;ECHDC3;CA5BP1;ENO4
GO_Molecular_Function_2023	E-box Binding (GO:0070888)	13/51	5.479815e-02	8.291516e-01	0	0	1.797957e+00	5.221444e+00	TCF15;BHLHE41;SCX;TCF21;OLIG1;BHLHA15;GATA3;ASCL2;PER1;HAND2;ATOH8;BMAL2;NEUROG2
GO_Molecular_Function_2023	Flap Endonuclease Activity (GO:0048256)	3/6	5.609934e-02	8.291516e-01	0	0	5.250078e+00	1.512354e+01	GEN1;FEN1;EXO1
GO_Molecular_Function_2023	Lipoprotein Lipase Activity (GO:0004465)	3/6	5.609934e-02	8.291516e-01	0	0	5.250078e+00	1.512354e+01	LCP1;LIPK;PNPLA2
GO_Molecular_Function_2023	Nitric-Oxide Synthase Binding (GO:0050998)	3/6	5.609934e-02	8.291516e-01	0	0	5.250078e+00	1.512354e+01	CAV1;NOS1AP;SCN5A
GO_Molecular_Function_2023	Primary Amine Oxidase Activity (GO:0008131)	3/6	5.609934e-02	8.291516e-01	0	0	5.250078e+00	1.512354e+01	AOC3;IL4I1;MAOB
GO_Molecular_Function_2023	Receptor Ligand Activity (GO:0048018)	62/319	5.690256e-02	8.291516e-01	0	0	1.270839e+00	3.642753e+00	CD86;SEMA5A;SEMA5B;CXCL9;CSF2;EDA;CD80;CXCL13;FGF1;FGF2;TNFSF13B;FGF9;IL12B;TNFSF11;IL10;EDN2;SEMA6D;IL18;IL19;NRG1;WNT16;IFNG;VGF;GRN;SEMA7A;SEMA3C;SEMA3D;SEMA3G;PDGFA;TGFA;PTN;PTHLH;NTF4;WNT11;CCL5;CCL4;CCL3;NDP;WNT2;JAG2;CCL25;GDF10;TSLP;SEMA4D;CD70;BDNF;IGF2;BMP8A;OSM;BMP8B;VEGFD;INHBA;BMP7;BMP5;BMP4;CXCL10;PYY;TAFA5;TAFA3;LEP;SCGB3A1;FGF10
GO_Molecular_Function_2023	Sodium Channel Activity (GO:0005272)	10/37	6.100120e-02	8.351573e-01	0	0	1.945953e+00	5.442561e+00	GRIK5;GRIK3;GRIK1;PKD2L1;SCN4A;SCN5A;SCN2A;SCN3A;SCN4B;HCN2
GO_Molecular_Function_2023	Dipeptidyl-Peptidase Activity (GO:0008239)	4/10	6.143114e-02	8.351573e-01	0	0	3.500521e+00	9.765888e+00	DPP6;NAALAD2;PRSS16;DPP3
GO_Molecular_Function_2023	Ligand-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential (GO:0099507)	4/10	6.143114e-02	8.351573e-01	0	0	3.500521e+00	9.765888e+00	GRIK5;GRIN2B;GRIA3;GRIA4
GO_Molecular_Function_2023	Calmodulin-Dependent Protein Kinase Activity (GO:0004683)	7/23	6.245892e-02	8.351573e-01	0	0	2.298005e+00	6.372933e+00	CAMK2B;MYLK2;CAMK1D;DAPK1;CAMK4;CAMK2A;MAPKAPK2
GO_Molecular_Function_2023	High Voltage-Gated Calcium Channel Activity (GO:0008331)	7/23	6.245892e-02	8.351573e-01	0	0	2.298005e+00	6.372933e+00	SCN4A;SCN5A;CACNA1F;SCN2A;CACNA1E;SCN3A;CACNA1G
GO_Molecular_Function_2023	Exopeptidase Activity (GO:0008238)	13/52	6.277326e-02	8.351573e-01	0	0	1.751751e+00	4.849242e+00	CTSA;CPB1;MME;CTSZ;PRSS16;CXCR4;GGH;DPP3;DPP6;DPEP2;CTSH;DPEP1;NAALAD2
GO_Molecular_Function_2023	DNA Polymerase Binding (GO:0070182)	6/19	7.009189e-02	9.062585e-01	0	0	2.423943e+00	6.442716e+00	FANCI;CDT1;PCNA;RAD51;FANCD2;SMARCA4
GO_Molecular_Function_2023	Microtubule Plus-End Binding (GO:0051010)	6/19	7.009189e-02	9.062585e-01	0	0	2.423943e+00	6.442716e+00	CLIP3;KIF18A;DST;KIF2C;UBASH3A;KNSTRN
GO_Molecular_Function_2023	Insulin-Like Growth Factor Binding (GO:0005520)	5/15	7.788729e-02	9.297919e-01	0	0	2.625586e+00	6.701790e+00	IGFBP1;LRP2;IGFALS;IGFBP6;IGF1R
GO_Molecular_Function_2023	MHC Class I Receptor Activity (GO:0032393)	4/11	8.466791e-02	9.297919e-01	0	0	3.000268e+00	7.407718e+00	LILRB1;LILRB2;LILRB4;LILRA4
GO_Molecular_Function_2023	Toll-like Receptor Binding (GO:0035325)	4/11	8.466791e-02	9.297919e-01	0	0	3.000268e+00	7.407718e+00	DAB2IP;TLR10;TLR6;MYD88
GO_Molecular_Function_2023	3',5'-cyclic-GMP Phosphodiesterase Activity (GO:0047555)	3/7	8.672379e-02	9.297919e-01	0	0	3.937324e+00	9.626864e+00	PDE1C;PDE2A;PDE5A
GO_Molecular_Function_2023	MHC Class Ib Protein Binding (GO:0023029)	3/7	8.672379e-02	9.297919e-01	0	0	3.937324e+00	9.626864e+00	TAP1;LILRB1;LILRB2
GO_Molecular_Function_2023	Alpha-(1->3)-Fucosyltransferase Activity (GO:0046920)	3/7	8.672379e-02	9.297919e-01	0	0	3.937324e+00	9.626864e+00	FUT7;FUT9;FUT3
GO_Molecular_Function_2023	Androsterone Dehydrogenase Activity (GO:0047023)	3/7	8.672379e-02	9.297919e-01	0	0	3.937324e+00	9.626864e+00	DHRS9;RDH5;HSD17B6
GO_Molecular_Function_2023	Bubble DNA Binding (GO:0000405)	3/7	8.672379e-02	9.297919e-01	0	0	3.937324e+00	9.626864e+00	RECQL4;BLM;NEIL3
GO_Molecular_Function_2023	Dehydroascorbic Acid Transmembrane Transporter Activity (GO:0033300)	3/7	8.672379e-02	9.297919e-01	0	0	3.937324e+00	9.626864e+00	SLC2A1;SLC2A3;SLC2A6
GO_Molecular_Function_2023	Fructose Transmembrane Transporter Activity (GO:0005353)	3/7	8.672379e-02	9.297919e-01	0	0	3.937324e+00	9.626864e+00	SLC2A3;SLC2A5;SLC2A6
GO_Molecular_Function_2023	Peptidyl-Proline 4-Dioxygenase Activity (GO:0031545)	3/7	8.672379e-02	9.297919e-01	0	0	3.937324e+00	9.626864e+00	EGLN3;P4HA1;P4HA3
GO_Molecular_Function_2023	Procollagen-Proline Dioxygenase Activity (GO:0019798)	3/7	8.672379e-02	9.297919e-01	0	0	3.937324e+00	9.626864e+00	P4HA1;P4HA3;P3H2
GO_Molecular_Function_2023	Purine Nucleotide Transmembrane Transporter Activity (GO:0015216)	3/7	8.672379e-02	9.297919e-01	0	0	3.937324e+00	9.626864e+00	ABCC4;SLC17A9;SLC25A5
