Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Non-small cell lung cancer	16/72	1.035851e-01	5.179255e-01	0	0	1.501390e+00	3.404194e+00	RET;PRKCB;CDKN2A;TGFA;STK4;EML4;KIF5C;RASSF5;KIF5A;E2F1;E2F2;BAX;E2F3;BAK1;JAK3;RXRG
KEGG_2021_Human	Antigen processing and presentation	17/78	1.099310e-01	5.410669e-01	0	0	1.464493e+00	3.233457e+00	HSPA8;TAP1;IFI30;CTSS;CD4;HLA-DMB;IFNG;CTSL;CD8A;HLA-DPB1;HLA-DRA;CALR;HLA-DOB;HLA-DQA2;CTSB;HLA-DPA1;LGMN
KEGG_2021_Human	Nitrogen metabolism	5/17	1.225310e-01	5.857946e-01	0	0	2.187728e+00	4.592897e+00	CA12;CA3;CA4;CA6;CA9
KEGG_2021_Human	Riboflavin metabolism	3/8	1.227379e-01	5.857946e-01	0	0	3.149672e+00	6.607079e+00	FLAD1;ACP5;ACP1
KEGG_2021_Human	Prostate cancer	20/97	1.361998e-01	6.333211e-01	0	0	1.364902e+00	2.721112e+00	PDGFRA;TCF7L2;INSRR;MMP3;LEF1;PDGFA;TGFA;PLAT;KLK3;MMP9;IGF1R;PLAU;CCNE1;CREB3L1;PDGFD;CREB3L2;E2F1;E2F2;E2F3;FGFR1
KEGG_2021_Human	Insulin secretion	18/86	1.367169e-01	6.333211e-01	0	0	1.390870e+00	2.767612e+00	GLP1R;CAMK2B;ADCYAP1R1;PRKCB;CAMK2A;SLC2A1;ADCY4;ATP1A2;ATP1B2;ADCY1;CACNA1F;ADCY7;GCK;ADCY5;CREB3L1;KCNMB1;CREB3L2;VAMP2
KEGG_2021_Human	Leukocyte transendothelial migration	23/114	1.390147e-01	6.346322e-01	0	0	1.328295e+00	2.620959e+00	ITK;NCF1;ITGA4;NCF2;PRKCB;ITGB2;CXCR4;CYBA;THY1;ITGAL;MMP9;VAV1;ICAM1;CLDN11;CLDN5;CXCL12;CLDN14;RASSF5;RAC2;CLDN19;MYL9;RAPGEF3;JAM2
KEGG_2021_Human	HIF-1 signaling pathway	22/109	1.449023e-01	6.491291e-01	0	0	1.328859e+00	2.566950e+00	CAMK2B;ANGPT4;EGLN3;TFRC;PRKCB;SERPINE1;CAMK2A;SLC2A1;HIF1A;ENO4;HK2;IGF1R;HK3;LDHA;TF;IFNG;EIF4EBP1;PGK1;HMOX1;ALDOC;GAPDH;PDK1
KEGG_2021_Human	Cortisol synthesis and secretion	14/65	1.475589e-01	6.491291e-01	0	0	1.442038e+00	2.759379e+00	ADCY4;ITPR1;NR0B1;ADCY1;CACNA1F;ADCY7;ADCY5;CACNA1G;NCEH1;CREB3L1;CREB3L2;AGTR1;PDE8B;KCNK3
KEGG_2021_Human	Pertussis	16/76	1.483724e-01	6.491291e-01	0	0	1.400963e+00	2.673079e+00	IL10;C1QB;C1QA;CXCL8;ITGB2;C4BPA;C4BPB;C2;IRAK1;IL23A;CFL2;IRF1;IL12B;IRF8;MYD88;C1QC
KEGG_2021_Human	Neuroactive ligand-receptor interaction	62/341	1.519352e-01	6.556107e-01	0	0	1.169073e+00	2.202886e+00	GLP1R;OXTR;VIPR1;THRB;THRA;SCT;GRIK5;NPY2R;GRIK3;GRIK1;PTH1R;GRPR;ADRA1A;EDNRB;GRM4;GRM8;LEPR;CHRNB4;EDN2;NPY5R;AVPR2;NPY1R;SSTR1;ADRA2C;ADRA2B;GABRG1;GAL;AGTR1;CHRNA1;GRIA2;ADCYAP1R1;PTAFR;PTGER3;C5AR1;CHRNA6;LPAR2;FPR3;FPR2;P2RY8;P2RY6;GLRA3;CALCR;CNR2;DRD2;GABRD;S1PR4;NTSR1;GRIA3;GRIA4;GABBR2;GABBR1;P2RY10;GZMA;GRIN2B;TSHR;PYY;P2RX6;P2RX5;LEP;NMU;NMUR1;F2RL3
